name, type, grape, vintage, price, region, country, abv,notes
King Estate, white, Pinot Gris,2012,15, Oregon, U.S.,13,Lemon-lime| green apple| white peach| pineapple
Hugel, white, Pinot Gris,2010,18,Alsace,France,14,peach | greens | lemon
Ruffino Ducale,red,Sangiovese/Merlot/Syrah,2010,13,Italy,Italy,13.5,pepper | vanilla
Ferrari-Carano Siena,red,Sangiovese,2011,20,Sonoma County - California,U.S.,14.1, 
Two Oceans,white,Sauvignon Blanc,2012,7,Western Cape,South Africa,12, 
J.S.Scmid Vom Urgestein Bergterrassen,white,Riesling,2011,15,Kremstal,Austria,12.5, 
Schmitt Sohne Relax,white,Riesling,2012,10,Mosel,Germany,,
Toasted Head,white,Chardonnay,2012,10,California,U.S.,,
Sidewise,red,Pinot Noir,2012,8,Vin de Pays d'Oc,France,,
Simi,red,Merlot,2010,15,California,U.S.,,
Simi,red,Cabernet Sauvignon,2010,18,Alexander Valley Sonoma County,U.S.,,
Lucien Albrecht Reserve,white,Riesling,2011,15,Alsace,France,13,
St. Urbans-Hof Kabinett,white,Riesling,2011,17,Ockfener Bockstein Mosel,Germany,9.5,
St. Urbans-Hof Spatlese,white,Riesling,2011,40,Piesporter Goldtropfehen Mosel,Germany,9,
Dr. Frank Dry Riesling,white,Riesling,2012,12,Finger Lakes NY,U.S.,12,
Chateau Ste. Michelle,white,Riesling,2011,8,Columbia Valley WA,U.S.,12,
Robert Mondavi Fume Blanc,white,Sauvignon Blanc,2012,11,Napa Valley,U.S.,13.5,
Robert Mondavi ,white,Chardonnay,2011,15,Napa Valley,U.S.,13.5,
Simply Naked,white,Moscato,2011,7,California,U.S.,10,
Au Bon Climat,red,Pinot Noir,2012,18,Santa Barbara County California,U.S.,13.5,
Ravenswood Zen of Zin,red,Zinfandel,2011,11,California,U.S.,13.5,
Estancia Meritage Reserve,red,Cabernet/Sauvignon/Merlot/Petit Verdo/Malbec,2010,21,California,U.S.,14.5,
Columbia Crest Two Vines,white,Gewurztraminer,2012,8,Columbia Valley WA,U.S.,11.5,
Willamette Valley Vineyards,red,Pinot Noir,2012,20,Oregon,U.S.,13.5,
Hogue Reserve,red,Merlot,2007,30,Wahluke Slope Columbia Valley,U.S.,14.3,
Charles Smith,red,Syrah,2012,17,Columbia Valley WA,U.S.,13.5,
Hedges 3 Vineyards,red,Cabernet Sauvignon/Merlot/Syrah/Cabernet Franc/Malbec,2011,22,Red Mountain Columbia Valley,U.S.,13.5,
Bully Hill Vineyards,white,Traminette,2012,7,New York,U.S.,10.3,
Ravines,white,Cabernet Franc,2011,17,Finger Lakes NY,U.S.,12.5,
Pindar Pythagorus,red,Cabernet Sauvignon/Merlot/Cabernet Franc/Malbec/Petit Verdot,0,10,North Fork of Long Island,U.S.,12.5,
Hazlitt Red Cat,red,Catawba/Baco Noir,0,8,Finger Lakes NY,U.S.,11,
